자치구,브랜드,지점명,소재지,latitude,longitude
마포구,세븐일레븐,합정역점,서교동 394,37.5499489,126.9153963
마포구,세븐일레븐,홍대클럽점 B,서교동 408-7 1층 코너,37.550094,126.9212984
양천구,CU,목4동점,목동중앙남로5길 46,37.5369286,126.8644525
양천구,CU,신월가로공원점,가로공원로 142,37.5361079,126.8317319
양천구,CU,신월장수공원점,월정로 15,37.5212536,126.8435204
양천구,CU,이대목동병원점,안양천로 1071 이대목동병원,37.53637940000001,126.8864324
양천구,CU,목동아카데미점,오목로 276-6,37.5249974,126.8678732
양천구,CU,목동하이페리온점,오목로 300 목동 현대 하이페리온2 204동,37.5243479,126.8699169
양천구,CU,신정중앙로점,오목로37길 22 비동,37.5269716,126.8560924
양천구,GS25,목동리치,목동중앙북로7가길 61 목동 RICH SQUARE,37.5497323,126.8641668
양천구,GS25,목동스위트,목동서로 65 목동가든스위트,37.536148,126.878813
양천구,GS25,신월태진,중앙로55길 28,37.5264272,126.8463518
양천구,GS25,신정성의,중앙로54길 21,37.5265754,126.8521066
양천구,세븐일레븐,목동점,목동동로 130 목동신시가지아파트14단지,37.5161905,126.8703376
양천구,세븐일레븐,신정2점,신월로 321,37.5217845,126.8564969
양천구,세븐일레븐,신정타운점,목동동로 50 목동신시가지아파트12단지 1201동,37.5132098,126.8603801
양천구,세븐일레븐,신월3호점,신월로 150,37.5170765,126.8405056
강서구,CU,,서울특별시 강서구 가양동 116-2번지,37.5670856,126.8424435
강서구,CU,,서울특별시 강서구 등촌동 631번지 103호,37.5574002,126.8613865
강서구,CU,,서울시 강서구 화곡3동 1036-35,37.5438889,126.8353089
강서구,CU,,서울특별시 강서구 화곡동 986-1번지,37.5504216,126.8473606
강서구,CU,,서울시 강서구 곰달래로53길 121 1층,37.5362855,126.8560271
강서구,GS25,,"서울 강서구 공항대로45가길 11, 1층 101호 (등촌1동 656-52, 강서메트로칸)",37.5560298,126.8537067
