소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,설치연도,구
서울특별시 성북구 종암동 108-1,서울특별시 성북구 종암동 108-1,37.6015005,127.0366855,2016,성북구
서울특별시 성북구 성북로 26길 60,,37.59676239,126.9940166,2016,성북구
서울특별시 성북구 석관동 42-1,서울특별시 성북구 석관동 42-1,37.6094813,127.0676816,2016,성북구
서울특별시 성북구 솔샘로 18길 4-19,,37.6124047,127.0067633,2016,성북구
서울특별시 성북구 장위동 157-22,서울특별시 성북구 장위동 157-22,37.6198877,127.0517106,2016,성북구
서울특별시 동대문구 청량리동 207-71,서울특별시 동대문구 청량리동 207-71,37.5930966,127.0414623,2016,동대문구
서울특별시 성북구 북악산로 935-25,,37.59567864,127.0253056,2016,성북구
서울특별시 성북구 정릉동 508-206,서울특별시 성북구 정릉동 508-206,37.5985298,127.0063981,2016,성북구
서울특별시 성북구 화랑로13가길 100,,37.61064529,127.0404146,2016,성북구
서울특별시 성북구 하월곡동 90-206,서울특별시 성북구 하월곡동 90-206,37.6048251,127.0305927,2016,성북구
서울특별시 성북구 삼선교로4길 147,,37.5817475,127.0091758,2016,성북구
서울특별시 성북구 보문동7가 108-2,서울특별시 성북구 보문동7가 108-2,37.5800239,127.0208238,2016,성북구
서울특별시 성북구 보문사길 30,,37.5838591,127.017073,2016,성북구
서울특별시 성북구 장위동 77-79,서울특별시 성북구 장위동 77-79,37.6171124,127.0511352,2016,성북구
서울특별시 성북구 보국문로 176-11,,37.61799706,127.0018349,2016,성북구
서울특별시 성북구 보국문로 176-11,,37.61799706,127.0018349,2016,성북구
서울특별시 성북구 한천로68길 12,서울특별시 성북구 석관동 85-30,37.60830552,127.066149,2013,성북구
서울특별시 성북구 한천로101가길 21,서울특별시 성북구 장위동 305-13,37.62126304,127.048631,2013,성북구
서울특별시 성북구 월계로40길 25,서울특별시 성북구 장위동 306-4,37.6222901,127.048989,2013,성북구
서울특별시 성북구 동소문로26가길 59,서울특별시 성북구 돈암동 74-284,37.59532614,127.0218286,2012,성북구
서울특별시 성북구 종암로21길 110,서울특별시 성북구 종암동 124-70,37.60298248,127.0311651,2012,성북구
서울특별시 성북구 북악산로 865,서울특별시 성북구 돈암동 42-32,37.59873219,127.0201973,2012,성북구
서울특별시 성북구 정릉동 164-57,서울특별시 성북구 정릉동 164-57,37.60551681,127.012298,2012,성북구
서울특별시 성북구 동소문로7길 16,서울특별시 성북구 동소문동4가 97-1,37.59065349,127.0088815,2012,성북구
