사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
로마,서울특별시 은평구 응암동 84-6 (지하1층),"서울특별시 은평구 서오릉로 3 (응암동,(지하1층))",서울특별시 은평구 응암동 84-6,37.5727322,126.9897416,은평구
썸노래빠,서울특별시 은평구 대조동 26-17번지 (지층),"서울특별시 은평구 진흥로13길 2 (대조동,(지층))",서울특별시 은평구 대조동 26-17,37.6256961,126.9203409,은평구
앵콜7080,서울특별시 은평구 녹번동 79-26 지층,"서울특별시 은평구 은평로 201-2, 지층 (녹번동)",서울특별시 은평구 녹번동 79-26,37.5704192,126.9742571,은평구
씨씨알 크럽,서울특별시 은평구 녹번동 156-40,"서울특별시 은평구 은평로11길 12-7, 지층 (녹번동)",서울특별시 은평구 녹번동 156-40,37.4876098,127.0150771,은평구
불꽃뮤직,서울특별시 은평구 녹번동 141-5 (지하1층),"서울특별시 은평구 진흥로 146 (녹번동,(지하1층))",서울특별시 은평구 녹번동 141-5,37.6085326,126.927981,은평구
참존,서울특별시 은평구 역촌동 42-62번지 (지층),"서울특별시 은평구 진흥로 33 (역촌동,(지층))",서울특별시 은평구 역촌동 42-62,37.5710258,127.0108666,은평구
또와노래팡,서울특별시 은평구 응암동 599-19 2층,"서울특별시 은평구 응암로 185, 2층 (응암동)",서울특별시 은평구 응암동 599-19,37.5727068,126.9907007,은평구
쌩쌩7080,서울특별시 은평구 불광동 281-154 2층호,"서울특별시 은평구 통일로66길 4-1, 2층 (불광동)",서울특별시 은평구 불광동 281-154,37.5727585,127.0139791,은평구
노래타운 세븐플로어(연신내점),서울특별시 은평구 갈현동 396-9 5층,"서울특별시 은평구 통일로 855-20 (갈현동, 5층)",서울특별시 은평구 갈현동 396-9,37.6161852,126.9189535,은평구
벤츠7080,서울특별시 은평구 대조동 12-2 지층,서울특별시 은평구 불광로 17 (대조동),서울특별시 은평구 대조동 12-2,37.6001869,126.9218608,은평구
동경,서울특별시 은평구 수색동 105-2번지,서울특별시 은평구 은평터널로 8-6 (수색동),서울특별시 은평구 수색동 105-2,37.5696692,126.9855195,은평구
뉴노래팡,서울특별시 은평구 갈현동 456-17번지,서울특별시 은평구 연서로29길 7-23 (갈현동),서울특별시 은평구 갈현동 456-17,37.5264272,126.8978053,은평구
라이브메들리락,서울특별시 은평구 응암동 104-40번지 지하1층,"서울특별시 은평구 응암로 296, 지하1층 (응암동)",서울특별시 은평구 응암동 104-40,37.5215651,126.8960012,은평구
노래하는황금마차,서울특별시 은평구 대조동 219-28 (지층),"서울특별시 은평구 연서로 190 (대조동,(지층))",서울특별시 은평구 대조동 219-28,37.5191988,126.9308612,은평구
