사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
하트,서울특별시 동대문구 장안동 366-2,"서울특별시 동대문구 장한로24길 8, 지상2층 (장안동)",서울특별시 동대문구 장안동 366-2,37.5706405,127.0713248,동대문구
땡큐노래팡,서울특별시 종로구 종로5가 115,"서울특별시 종로구 종로31길 18, 2층 (종로5가)",서울특별시 종로구 종로5가 115,37.5717382,126.9999269,종로구
텐션,서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501호 (마곡동)",서울특별시 강서구 마곡동 795-6,37.560184,126.8372923,강서구
황진이,서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501-1호 (마곡동)",서울특별시 강서구 마곡동 795-6,37.560184,126.8372923,강서구
대왕노래궁,서울특별시 강동구 천호동 416-5,"서울특별시 강동구 구천면로24길 11, 지하1층 (천호동)",서울특별시 강동구 천호동 416-5,37.5401754,127.1261682,강동구
두꺼비,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층,"서울특별시 강남구 학동로 339, 세한빌딩 지하1층 (논현동)",서울특별시 강남구 논현동 118-17,37.5171427,127.0401937,강남구
피닉스,서울특별시 영등포구 영등포동3가 15-4,"서울특별시 영등포구 영중로10길 30, 2,3층 (영등포동3가)",서울특별시 영등포구 영등포동3가 15-4,37.5186021,126.9085738,영등포구
뭉클7080생음악라이브,서울특별시 종로구 종로3가 6 4층,"서울특별시 종로구 종로 111-1, 4층 (종로3가)",서울특별시 종로구 종로3가 6,37.5705773,126.9899327,종로구
엠비씨(MBC) 노래주점,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층,"서울특별시 강북구 도봉로 355-8, B1층 (수유동)",서울특별시 강북구 수유동 191-29,37.6394781,127.0264895,강북구
난사노래빠,서울특별시 관악구 신림동 538-1,서울특별시 관악구 난곡로 317 (신림동),서울특별시 관악구 신림동 538-1,37.4823157,126.9142298,관악구
부엉이 노래클럽,서울특별시 구로구 오류동 55-14,"서울특별시 구로구 경인로 208, 1호 3층 (오류동)",서울특별시 구로구 오류동 55-14,37.4958953,126.8441582,구로구
스마일,서울특별시 영등포구 영등포동3가 9-23 지하1층,"서울특별시 영등포구 영중로4길 3-1 (영등포동3가,지하1층)",서울특별시 영등포구 영등포동3가 9-23,37.5172961,126.9068001,영등포구
팔팔노래클럽,서울특별시 영등포구 여의도동 44-35번지 지하13호,"서울특별시 영등포구 여의대방로 379 (여의도동,지하13호)",서울특별시 영등포구 여의도동 44-35,37.5191988,126.9308612,영등포구
지직스,서울특별시 영등포구 영등포동3가 16-2 지하1층,"서울특별시 영등포구 영중로10길 20, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 16-2,37.5188309,126.9073997,영등포구
럭셔리 노래밤,서울특별시 은평구 갈현동 398-10번지 지층,"서울특별시 은평구 연서로 225 (갈현동,지층)",서울특별시 은평구 갈현동 398-10,37.6186416,126.9199887,은평구
호박성인나이트,서울특별시 은평구 불광동 281-92 (지하1층),"서울특별시 은평구 통일로 730 (불광동,(지하1층))",서울특별시 은평구 불광동 281-92,37.6108017,126.9300861,은평구
터미널관광나이트,서울특별시 영등포구 영등포동3가 8-1번지 지하1~2층,"서울특별시 영등포구 영중로8길 6 (영등포동3가, 지하1~2층)",서울특별시 영등포구 영등포동3가 8-1,37.518305,126.9063394,영등포구
여명,서울특별시 영등포구 여의도동 44-14,서울특별시 영등포구 여의대방로 383 (여의도동),서울특별시 영등포구 여의도동 44-14,37.5193784,126.9314564,영등포구
두바이,서울특별시 영등포구 영등포동3가 3-7,서울특별시 영등포구 영중로10길 35 (영등포동3가),서울특별시 영등포구 영등포동3가 3-7,37.5186712,126.9092188,영등포구
방배 제이엠씨(JMC),서울특별시 서초구 방배동 444-9,서울특별시 서초구 동작대로 10 (방배동),서울특별시 서초구 방배동 444-9,37.477408,126.9820355,서초구
스카이 노래밤,서울특별시 성북구 종암동 3-1235번지,서울특별시 성북구 종암로22길 7 (종암동),서울특별시 성북구 종암동 3-1235,37.5998933,127.0346253,성북구
카니발,서울특별시 성북구 동소문동6가 133-2번지 (지하1층),"서울특별시 성북구 아리랑로 3 (동소문동6가,(지하1층))",서울특별시 성북구 동소문동6가 133-2,37.5929441,127.0162225,성북구
하트노래,서울특별시 성북구 동선동4가 7 외 1필지,"서울특별시 성북구 아리랑로 4 (동선동4가,외 1필지)",서울특별시 성북구 동선동4가 7,37.5932164,127.0165801,성북구
발리,서울특별시 성북구 동소문동5가 85번지,서울특별시 성북구 동소문로20길 12 (동소문동5가),서울특별시 성북구 동소문동5가 85,37.59202519999999,127.0164873,성북구
놀자뮤직타운,서울특별시 성북구 동선동1가 2-12번지,서울특별시 성북구 동소문로20나길 3 (동선동1가),서울특별시 성북구 동선동1가 2-12,37.5919732,127.0168004,성북구
올챙이주점,서울특별시 성북구 보문동4가 77-2번지 브라운관광호텔 지하1층,"서울특별시 성북구 보문로 78 (보문동4가,브라운관광호텔 지하1층)",서울특별시 성북구 보문동4가 77-2,37.5823324,127.0212839,성북구
샤롯데,서울특별시 송파구 방이동 24-0 지상3층,"서울특별시 송파구 올림픽로30길 6-5, 지상3층 (방이동)",서울특별시 송파구 방이동 24-0,37.5151525,127.1076055,송파구
스케일 뮤직타운,서울특별시 송파구 잠실동 182-0 지하1층,"서울특별시 송파구 올림픽로12길 4-15 (잠실동,지하1층)",서울특별시 송파구 잠실동 182-0,37.5110819,127.0822684,송파구
부킹노래바Q,서울특별시 송파구 잠실동 183-9,서울특별시 송파구 백제고분로7길 51 (잠실동),서울특별시 송파구 잠실동 183-9,37.5108904,127.0846894,송파구
올레노래밤,서울특별시 은평구 불광동 281-172 (지하1층),"서울특별시 은평구 통일로 720 (불광동,(지하1층))",서울특별시 은평구 불광동 281-172,37.6100866,126.9305951,은평구
마인드,서울특별시 서초구 서초동 1588-8 지하1층,"서울특별시 서초구 효령로55길 15, 지하1층 (서초동)",서울특별시 서초구 서초동 1588-8,37.4855265,127.0142316,서초구
대박노래밤,서울특별시 은평구 불광동 281-173,서울특별시 은평구 통일로 718 (불광동),서울특별시 은평구 불광동 281-173,37.6100024,126.930668,은평구
파티노래밤,서울특별시 은평구 녹번동 117-112 지하1층,"서울특별시 은평구 통일로 697 (녹번동,지하1층)",서울특별시 은평구 녹번동 117-112,37.6080895,126.9317416,은평구
킹노래팡,서울특별시 은평구 대조동 15-194,서울특별시 은평구 진흥로 167 (대조동),서울특별시 은평구 대조동 15-194,37.6088253,126.9282869,은평구
칸,서울특별시 은평구 갈현동 395-7 (지1층),"서울특별시 은평구 통일로 863, 지1층 (갈현동)",서울특별시 은평구 갈현동 395-7,37.62001679999999,126.92001,은평구
벤츠,서울특별시 은평구 갈현동 395-28,서울특별시 은평구 통일로 863-8 (갈현동),서울특별시 은평구 갈현동 395-28,37.6198197,126.9197009,은평구
퀸,서울특별시 은평구 불광동 281-170,서울특별시 은평구 통일로66길 2 (불광동),서울특별시 은평구 불광동 281-170,37.6102459,126.9306603,은평구
썸,서울특별시 은평구 불광동 281-97번지,서울특별시 은평구 불광로 40-6 (불광동),서울특별시 은평구 불광동 281-97,37.6104778,126.9304663,은평구
블루노래바,서울특별시 은평구 응암동 599-57 (지층),"서울특별시 은평구 응암로11길 12 (응암동,(지층))",서울특별시 은평구 응암동 599-57,37.5886775,126.9155944,은평구
플러스,서울특별시 송파구 방이동 24-0 지상2층,"서울특별시 송파구 올림픽로30길 6-5 (방이동,지상2층)",서울특별시 송파구 방이동 24-0,37.5151525,127.1076055,송파구
임팩트2,서울특별시 송파구 가락동 98-6 지하3층,"서울특별시 송파구 송파대로28길 11 (가락동,지하3층)",서울특별시 송파구 가락동 98-6,37.4940939,127.1191073,송파구
앤,서울특별시 송파구 가락동 99-2 지상2층,"서울특별시 송파구 송파대로28길 6, 지상2층 (가락동)",서울특별시 송파구 가락동 99-2,37.4935057,127.1190346,송파구
로또,서울특별시 성북구 길음동 877-195번지,서울특별시 성북구 동소문로 225-3 (길음동),서울특별시 성북구 길음동 877-195,37.6021918,127.0219123,성북구
팝콘뮤직타운,서울특별시 성북구 보문동4가 77-2번지 외3필지(76번지포함),"서울특별시 성북구 보문로 78 (보문동4가, 지하1층)",서울특별시 성북구 보문동4가 77-2,37.5823324,127.0212839,성북구
오빠오빠,서울특별시 송파구 가락동 99-2,서울특별시 송파구 송파대로28길 6 (가락동),서울특별시 송파구 가락동 99-2,37.4935057,127.1190346,송파구
임팩트,서울특별시 송파구 가락동 98-6 지하1층,"서울특별시 송파구 송파대로28길 11, 지하1층 (가락동)",서울특별시 송파구 가락동 98-6,37.4940939,127.1191073,송파구
티파니7080,서울특별시 송파구 가락동 98-2번지 뉴훼미리1차 지상2층 201호,"서울특별시 송파구 송파대로30길 8, 지상2층 201호 (가락동, 뉴훼미리1차 )",서울특별시 송파구 가락동 98-2,37.4942105,127.1184352,송파구
커플 술먹는 노래주점,서울특별시 송파구 잠실동 178-5번지 지상3층,"서울특별시 송파구 백제고분로7길 15-5, 지상3층 (잠실동)",서울특별시 송파구 잠실동 178-5,37.5108113,127.0804712,송파구
갤럭시,서울특별시 송파구 석촌동 158 호텔 레이크 지하3층,"서울특별시 송파구 석촌호수로 216, 호텔 레이크 지하3층 (석촌동)",서울특별시 송파구 석촌동 158,37.5068646,127.1008999,송파구
금수저 노래팡,서울특별시 은평구 응암동 96-14 (지층),"서울특별시 은평구 은평로 166 (응암동,(지층))",서울특별시 은평구 응암동 96-14,37.6011098,126.9261488,은평구
비트,서울특별시 은평구 녹번동 258-0번지,서울특별시 은평구 은평로 233 (녹번동),서울특별시 은평구 녹번동 258-0,37.601257,126.9334843,은평구
청춘 별이 빛나는 밤,서울특별시 은평구 갈현동 396-9 지1층,"서울특별시 은평구 통일로 855-20 (갈현동, 지1층)",서울특별시 은평구 갈현동 396-9,37.6197227,126.9199269,은평구
갈채,서울특별시 은평구 대조동 14-18번지,서울특별시 은평구 통일로 723 (대조동),서울특별시 은평구 대조동 14-18,37.6101018,126.9298436,은평구
술마시는조운노래방,서울특별시 은평구 대조동 11-11번지 (지하1층),"서울특별시 은평구 불광로 29-1 (대조동,(지하1층))",서울특별시 은평구 대조동 11-11,37.6110257,126.9290955,은평구
힐링노래밤,서울특별시 은평구 불광동 281-171번지,"서울특별시 은평구 통일로 722, 지하1층 106호 (불광동)",서울특별시 은평구 불광동 281-171,37.6101709,126.9305225,은평구
토마토 노래팡,서울특별시 은평구 불광동 281-176 지층,"서울특별시 은평구 통일로 714 (불광동, 지층)",서울특별시 은평구 불광동 281-176,37.6097544,126.9308837,은평구
맨하탄노래클럽,서울특별시 영등포구 양평동4가 27-4번지 지하1층,"서울특별시 영등포구 양평로 77 (양평동4가, 지하1층)",서울특별시 영등포구 양평동4가 27-4,37.5354318,126.8982498,영등포구
하니,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 2층 201B호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
에스(S),"서울특별시 송파구 가락동 79-7번지 지상2층 3,4호",서울특별시 송파구 송파대로28길 32 (가락동),서울특별시 송파구 가락동 79-7,37.4947289,127.1213108,송파구
if 노래주점,"서울특별시 송파구 가락동 79-7번지 2층 1호,2호","서울특별시 송파구 송파대로28길 32, 2층 (가락동)",서울특별시 송파구 가락동 79-7,37.4947289,127.1213108,송파구
홍콩,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 지하1층 101호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
동경노래,서울특별시 송파구 가락동 99-1 지상1층 104호 - 108호,"서울특별시 송파구 송파대로28길 12 (가락동, 지상1층 104호-108호)",서울특별시 송파구 가락동 99-1,37.4937181,127.119428,송파구
해지면,서울특별시 영등포구 영등포동3가 25-1,"서울특별시 영등포구 영중로8길 19, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 25-1,37.5183888,126.9078544,영등포구
로또노래바,서울특별시 영등포구 영등포동3가 11-8번지 2층,"서울특별시 영등포구 영중로4길 18 (영등포동3가,2층)",서울특별시 영등포구 영등포동3가 11-8,37.5173507,126.9084541,영등포구
팻븐2,서울특별시 영등포구 영등포동3가 5-6번지 외1필지,"서울특별시 영등포구 영등포로 226-1 (영등포동3가,외1필지)",서울특별시 영등포구 영등포동3가 5-6,37.51939780000001,126.9064405,영등포구
피카소노래빠,서울특별시 영등포구 영등포동3가 25 지하1층,"서울특별시 영등포구 영등포로46길 7 (영등포동3가,지하1층)",서울특별시 영등포구 영등포동3가 25,37.5184976,126.907892,영등포구
궁전노래바,서울특별시 영등포구 당산동5가 32-1,서울특별시 영등포구 양평로 51 (당산동5가),서울특별시 영등포구 당산동5가 32-1,37.5342637,126.9007404,영등포구
놀아줘,서울특별시 영등포구 당산동2가 60-0번지 지하1층,"서울특별시 영등포구 선유동1로 6-7, 지하1층 (당산동2가)",서울특별시 영등포구 당산동2가 60-0,37.5225847,126.892019,영등포구
모델노래바,서울특별시 영등포구 영등포동3가 10-28 지하1층,"서울특별시 영등포구 영중로4길 8, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 10-28,37.5171312,126.9073008,영등포구
수노래바,서울특별시 영등포구 영등포동3가 10-28 지하1층,"서울특별시 영등포구 영중로4길 8 (영등포동3가, 지하1층)",서울특별시 영등포구 영등포동3가 10-28,37.5171312,126.9073008,영등포구
원투,서울특별시 영등포구 영등포동3가 20-2번지,서울특별시 영등포구 영중로4길 7 (영등포동3가),서울특별시 영등포구 영등포동3가 20-2,37.5173415,126.9070831,영등포구
뉴노래빠,서울특별시 영등포구 영등포동3가 14-7,서울특별시 영등포구 영중로10길 32-1 (영등포동3가),서울특별시 영등포구 영등포동3가 14-7,37.5184291,126.9089025,영등포구
좋아요,"서울특별시 영등포구 여의도동 44-13 충무빌딩10호,11호(지하1층)","서울특별시 영등포구 여의대방로69길 7 (여의도동, 충무빌딩10호,11호(지하1층))",서울특별시 영등포구 여의도동 44-13,37.5196973,126.9313482,영등포구
백악관,서울특별시 영등포구 영등포동5가 18-1번지 4층,"서울특별시 영등포구 영등포로 225 (영등포동5가, 4층)",서울특별시 영등포구 영등포동5가 18-1,37.519893,126.9068001,영등포구
거목,서울특별시 영등포구 영등포동5가 24-0번지,서울특별시 영등포구 영등포로37길 4 (영등포동5가),서울특별시 영등포구 영등포동5가 24-0,37.5205986,126.9056647,영등포구
비엠,서울특별시 영등포구 영등포동3가 13-10 지하1층,"서울특별시 영등포구 영중로4길 29 (영등포동3가, 지하1층)",서울특별시 영등포구 영등포동3가 13-10,37.51796660000001,126.9095311,영등포구
피닉스III,서울특별시 영등포구 영등포동3가 23-9 지하1층(전체),"서울특별시 영등포구 영중로6길 27-1 (영등포동3가,지하1층(전체))",서울특별시 영등포구 영등포동3가 23-9,37.5177485,126.909003,영등포구
명품노래바,서울특별시 송파구 가락동 98-7 지하1층 106-2호,"서울특별시 송파구 송파대로28길 13 (가락동, 지하1층 106-2호)",서울특별시 송파구 가락동 98-7,37.4942726,127.1194247,송파구
호박노래장,서울특별시 송파구 가락동 79-7번지,"서울특별시 송파구 송파대로28길 32, 지하1층 9,10,11호 (가락동, 올림피아오피스텔)",서울특별시 송파구 가락동 79-7,37.4947289,127.1213108,송파구
벤츠노래,서울특별시 송파구 가락동 98-7 지하1층 108호,서울특별시 송파구 송파대로28길 13 (가락동),서울특별시 송파구 가락동 98-7,37.4942726,127.1194247,송파구
메이드 노래바(MADE 노래바),서울특별시 영등포구 영등포동3가 15-3,서울특별시 영등포구 영중로10길 28-1 (영등포동3가),서울특별시 영등포구 영등포동3가 15-3,37.5186397,126.9084191,영등포구
에스비에스노래,서울특별시 영등포구 영등포동3가 13-11 지하1층,"서울특별시 영등포구 영등포로50길 11 (영등포동3가, 지하1층)",서울특별시 영등포구 영등포동3가 13-11,37.5179252,126.9094173,영등포구
월드컵노래주점,서울특별시 성동구 홍익동 125번지,서울특별시 성동구 고산자로 293 (홍익동),서울특별시 성동구 홍익동 125,37.56582030000001,127.0360434,성동구
꿀단지,서울특별시 송파구 가락동 99-1,"서울특별시 송파구 송파대로28길 12, 지하1층 11호(일부),12호 (가락동)",서울특별시 송파구 가락동 99-1,37.4937181,127.119428,송파구
뉴욕,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 107,108,109,110호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
폭스,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 106호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
라인노래,서울특별시 영등포구 양평동4가 27-2 지하1층,"서울특별시 영등포구 양평로 73, 지하1층 (양평동4가)",서울특별시 영등포구 양평동4가 27-2,37.535278,126.8986213,영등포구
킹,서울특별시 영등포구 영등포동3가 21-2,"서울특별시 영등포구 영중로4길 9-2, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 21-2,37.5174319,126.9075422,영등포구
올레,서울특별시 영등포구 신길동 95-62 지하1층,"서울특별시 영등포구 영등포로 370 (신길동, 지하1층)",서울특별시 영등포구 신길동 95-62,37.5138374,126.919051,영등포구
SK(에스케이),서울특별시 영등포구 영등포동3가 23-5 지하1층,"서울특별시 영등포구 영등포로50길 12, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 23-5,37.517953,126.9092477,영등포구
황실,서울특별시 영등포구 영등포동3가 13-2,서울특별시 영등포구 영중로10길 40 (영등포동3가),서울특별시 영등포구 영등포동3가 13-2,37.5183545,126.9097064,영등포구
가요무대,서울특별시 성동구 행당동 267-17번지,서울특별시 성동구 왕십리로 291-2 (행당동),서울특별시 성동구 행당동 267-17,37.5601733,127.0359271,성동구
루비 노래클럽,서울특별시 성동구 행당동 227-1,서울특별시 성동구 왕십리로 284 (행당동),서울특별시 성동구 행당동 227-1,37.5598092,127.0369406,성동구
헤라(HERA),서울특별시 성동구 도선동 144번지,서울특별시 성동구 무학로2길 43 (도선동),서울특별시 성동구 도선동 144,37.5628585,127.034454,성동구
큐브(CUBE),서울특별시 성동구 용답동 235-2 금풍빌딩 지1층104호,"서울특별시 성동구 천호대로 432, 지1층 104호 (용답동, 금풍빌딩)",서울특별시 성동구 용답동 235-2,37.5607815,127.0668588,성동구
페라리,서울특별시 성동구 도선동 151-1,"서울특별시 성동구 왕십리로24길 8, 3층 (도선동)",서울특별시 성동구 도선동 151-1,37.5630617,127.0340834,성동구
골드2,서울특별시 송파구 가락동 98-7,"서울특별시 송파구 송파대로28길 13, 지하1층 103호 (가락동, 거북이빌딩)",서울특별시 송파구 가락동 98-7,37.4942726,127.1194247,송파구
골드1,서울특별시 송파구 가락동 98-7,"서울특별시 송파구 송파대로28길 13, 지하1층 101호 (가락동, 거북이빌딩)",서울특별시 송파구 가락동 98-7,37.4942726,127.1194247,송파구
뉴홍콩,서울특별시 송파구 가락동 79-4 세화빌딩,"서울특별시 송파구 송파대로28길 20, 세화빌딩 지하1층 102,103호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
바나나,서울특별시 송파구 가락동 79-4,"서울특별시 송파구 송파대로28길 20, 지하1층 114-1,2호 (가락동)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
도도,서울특별시 영등포구 당산동5가 33-8 대영빌딩,"서울특별시 영등포구 양평로 59, 대영빌딩 지하1층 B-1, B-2호 (당산동5가)",서울특별시 영등포구 당산동5가 33-8,37.5346708,126.8998397,영등포구
빵빵,서울특별시 성동구 송정동 66-196,서울특별시 성동구 광나루로 323 (송정동),서울특별시 성동구 송정동 66-196,37.5484318,127.0656747,성동구
쎄븐,서울특별시 성동구 송정동 66-259,서울특별시 성동구 광나루로 315 (송정동),서울특별시 성동구 송정동 66-259,37.5483625,127.064827,성동구
폭스,서울특별시 성동구 용답동 233-6,"서울특별시 성동구 천호대로 426, 지층 (용답동, 233-6)",서울특별시 성동구 용답동 233-6,37.560871,127.0661962,성동구
별밤,서울특별시 성동구 도선동 65,서울특별시 성동구 왕십리로22길 6 (도선동),서울특별시 성동구 도선동 65,37.5625591,127.0344556,성동구
오렌지,서울특별시 성동구 도선동 29-0  동  호,"서울특별시 성동구 왕십리로20길 8, 동  호 (도선동)",서울특별시 성동구 도선동 29-0,37.5624878,127.0351059,성동구
골드 노래주점,서울특별시 성동구 도선동 253-12,서울특별시 성동구 왕십리로 328 (도선동),서울특별시 성동구 도선동 253-12,37.56282119999999,127.0334086,성동구
초콜렛,서울특별시 성동구 도선동 149번지 (지하1층),"서울특별시 성동구 무학로2길 39 (도선동, 도선동149외3필지 지하1층)",서울특별시 성동구 도선동 149,37.5629434,127.0342565,성동구
만추,서울특별시 은평구 대조동 15-224 보승빌딩 지층,"서울특별시 은평구 진흥로 163, 보승빌딩 지층 (대조동)",서울특별시 은평구 대조동 15-224,37.6089985,126.927916,은평구
클라라노래바,서울특별시 은평구 응암동 599-37번지 지1층,"서울특별시 은평구 응암로11길 6-2, 지1층 (응암동)",서울특별시 은평구 응암동 599-37,37.5885035,126.9160823,은평구
씨스타 비키니 노래바,서울특별시 은평구 응암동 599-36번지 지1층,"서울특별시 은평구 응암로11길 6 (응암동, 지1층)",서울특별시 은평구 응암동 599-36,37.5884968,126.9161859,은평구
즐거운노래바,서울특별시 은평구 갈현동 456-24 2층,"서울특별시 은평구 연서로27길 8-6, 2층 (갈현동)",서울특별시 은평구 갈현동 456-24,37.6179513,126.9189571,은평구
청개구리,서울특별시 영등포구 신길동 116-1,"서울특별시 영등포구 도신로60길 1, 지하1층 (신길동)",서울특별시 영등포구 신길동 116-1,37.5116686,126.9172357,영등포구
팡팡,서울특별시 영등포구 문래동1가 58-15번지,서울특별시 영등포구 경인로 728 (문래동1가),서울특별시 영등포구 문래동1가 58-15,37.5119726,126.8946107,영등포구
미래노래바,서울특별시 은평구 불광동 281-100 (지하1층),"서울특별시 은평구 통일로 724 (불광동,(지하1층))",서울특별시 은평구 불광동 281-100,37.6103154,126.9303966,은평구
다원,서울특별시 은평구 응암동 91-1번지 (지하1층),"서울특별시 은평구 은평로 99 (응암동,(지하1층))",서울특별시 은평구 응암동 91-1,37.5999287,126.9187349,은평구
세원,서울특별시 영등포구 당산동2가 147-1 지하1층,"서울특별시 영등포구 선유동1로 20, 지하1층 (당산동2가)",서울특별시 영등포구 당산동2가 147-1,37.5236848,126.892029,영등포구
대벌,서울특별시 영등포구 대림동 990-6번지,서울특별시 영등포구 시흥대로177길 2 (대림동),서울특별시 영등포구 대림동 990-6,37.4886141,126.9054756,영등포구
좋은날,"서울특별시 영등포구 여의도동 43번지 미원빌딩 316,317호","서울특별시 영등포구 국제금융로 공중 70, 3층 316,317호 (여의도동, 미원빌딩)",서울특별시 영등포구 여의도동 43,37.5214292,126.9306415,영등포구
상한가,서울특별시 영등포구 여의도동 46-1 지하1층,"서울특별시 영등포구 여의대방로65길 13 (여의도동,지하1층)",서울특별시 영등포구 여의도동 46-1,37.5193591,126.9296114,영등포구
뮤즈 노래바,"서울특별시 영등포구 영등포동3가 17-5 ,2층","서울특별시 영등포구 영등포로46길 10 (영등포동3가,,2층)",서울특별시 영등포구 영등포동3가 17-5,37.518468,126.9075686,영등포구
별밤노래타운,서울특별시 영등포구 영등포동3가 16,"서울특별시 영등포구 영중로10길 16, 지하1층 (영등포동3가)",서울특별시 영등포구 영등포동3가 16,37.5188593,126.9069498,영등포구
SBS,서울특별시 서초구 방배동 768-1번지 지하1층,"서울특별시 서초구 방배중앙로27길 9, 지하1층 (방배동)",서울특별시 서초구 방배동 768-1,37.4950929,126.9853242,서초구
퇴근길노래바Q,서울특별시 송파구 방이동 36-8,서울특별시 송파구 올림픽로32길 13 (방이동),서울특별시 송파구 방이동 36-8,37.5149581,127.1092839,송파구
준코뮤직타운 신천1호점,서울특별시 송파구 잠실동 180-4 지하1층,"서울특별시 송파구 올림픽로12길 4-25, 지하1층 (잠실동)",서울특별시 송파구 잠실동 180-4,37.5111224,127.0813446,송파구
코리아,"서울특별시 송파구 가락동 79-7 (지하1층12,13호)","서울특별시 송파구 송파대로28길 32, 지하1층 12,13호 (가락동)",서울특별시 송파구 가락동 79-7,37.4947289,127.1213108,송파구
오아시스,서울특별시 송파구 방이동 39-12 지하1층,"서울특별시 송파구 오금로11길 29-14, 지하1층 (방이동)",서울특별시 송파구 방이동 39-12,37.5158666,127.1103839,송파구
제이(J),서울특별시 영등포구 영등포동3가 21-3번지 (지하1층),서울특별시 영등포구 영중로4길 9-4 (영등포동3가),서울특별시 영등포구 영등포동3가 21-3,37.51764410000001,126.9075535,영등포구
신세계,서울특별시 서초구 서초동 1588-1 지하1층,"서울특별시 서초구 반포대로14길 54, 지하1층 (서초동)",서울특별시 서초구 서초동 1588-1,37.4859832,127.0138317,서초구
레드＆핫,서울특별시 은평구 갈현동 396-8번지 3층,"서울특별시 은평구 통일로 855-16 (갈현동, 3층)",서울특별시 은평구 갈현동 396-8,37.6195055,126.9202716,은평구
에이스,서울특별시 은평구 응암동 590-1 (지하1층),"서울특별시 은평구 가좌로 231 (응암동,(지하1층))",서울특별시 은평구 응암동 590-1,37.5902775,126.9166054,은평구
덤노래팡,서울특별시 은평구 갈현동 456-24번지 (지하1층),"서울특별시 은평구 연서로27길 8-6 (갈현동,(지하1층))",서울특별시 은평구 갈현동 456-24,37.6179513,126.9189571,은평구
미미노래팡,서울특별시 은평구 대조동 14-14번지 (지하1층),"서울특별시 은평구 통일로 721 (대조동,(지하1층))",서울특별시 은평구 대조동 14-14,37.6099922,126.9299419,은평구
천사노래밤,서울특별시 은평구 대조동 12-12 (지상2층),"서울특별시 은평구 불광로 27 (대조동,(지상2층))",서울특별시 은평구 대조동 12-12,37.6107621,126.9288064,은평구
대박노래빠,서울특별시 은평구 응암동 577-45 (지하1층),"서울특별시 은평구 응암로 207 (응암동,(지하1층))",서울특별시 은평구 응암동 577-45,37.5905547,126.9170956,은평구
샤방샤방메들리,서울특별시 은평구 응암동 590-2,서울특별시 은평구 가좌로 229 (응암동),서울특별시 은평구 응암동 590-2,37.5902104,126.9167756,은평구
스캔들,서울특별시 은평구 대조동 15-38,서울특별시 은평구 통일로65길 12-8 (대조동),서울특별시 은평구 대조동 15-38,37.6096344,126.9296996,은평구
루실노래팡,서울특별시 은평구 응암동 590-3번지,"서울특별시 은평구 가좌로 227, 지하1층 (응암동)",서울특별시 은평구 응암동 590-3,37.5901183,126.916917,은평구
보물섬,서울특별시 은평구 응암동 590-6,"서울특별시 은평구 응암로13길 2, 지하1층 (응암동)",서울특별시 은평구 응암동 590-6,37.58998589999999,126.9167543,은평구
올래,서울특별시 은평구 응암동 590-4,서울특별시 은평구 응암로 201 (응암동),서울특별시 은평구 응암동 590-4,37.590031,126.9168983,은평구
일기장,서울특별시 송파구 방이동 38-13 (지상2층),"서울특별시 송파구 오금로11길 27 (방이동,(지상2층))",서울특별시 송파구 방이동 38-13,37.5152581,127.1101533,송파구
섹시,"서울특별시 송파구 가락동 79-4번지 세화빌딩 지하1층 111호,112호,113호","서울특별시 송파구 송파대로28길 20, 지하1층 111,112,113호 (가락동, 세화빌딩)",서울특별시 송파구 가락동 79-4,37.4941466,127.1202339,송파구
에이스,서울특별시 송파구 가락동 99-2 3층,"서울특별시 송파구 송파대로28길 6, 3층 (가락동)",서울특별시 송파구 가락동 99-2,37.4935057,127.1190346,송파구
보물성,서울특별시 송파구 가락동 99-2,"서울특별시 송파구 송파대로28길 6, 3층 (가락동)",서울특별시 송파구 가락동 99-2,37.4935057,127.1190346,송파구
